#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
ATP-dependent protease HslV (EC 3.4.25.-)	3	6	1	4	4.5	2.5
ATP-dependent protease La (EC 3.4.21.53)	1	1	2	3	1	2.5
LSU ribosomal protein L31p	2	3	3	2	2.5	2.5
tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	3	3	2	3	3	2.5
LSU ribosomal protein L19p	2	4	2	3	3	2.5
LSU ribosomal protein L23p (L23Ae)	2	1	2	3	1.5	2.5
LSU ribosomal protein L3p (L3e)	4	5	2	3	4.5	2.5
LSU ribosomal protein L8e (L2p)	1	0	2	3	0.5	2.5
SSU ribosomal protein S16p	2	2	2	3	2	2.5
Selenocysteine-specific translation elongation factor	1	0	2	3	0.5	2.5
Putative Heme-regulated two-component response regulator	1	1	2	3	1	2.5
Putative sensory histidine kinase YfhA	3	2	3	2	2.5	2.5
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	1	3	2	3	2	2.5
Cytochrome c-type biogenesis protein CcmE, heme chaperone	4	3	2	3	3.5	2.5
carbon monoxide dehydrogenase D protein	2	2	3	2	2	2.5
NAD-dependent formate dehydrogenase (EC 1.2.1.2)	0	2	1	4	1	2.5
tungsten-containing formate dehydrogenase beta subunit	3	2	3	2	2.5	2.5
Ni/Fe-hydrogenase 2 B-type cytochrome subunit	0	1	5	0	0.5	2.5
[NiFe] hydrogenase metallocenter assembly protein HypD	1	1	2	3	1	2.5
Transport ATP-binding protein CydC	1	1	2	3	1	2.5
RNA-binding protein Hfq	3	3	2	3	3	2.5
2'-5' RNA ligase	2	5	2	3	3.5	2.5
tRNA pseudouridine synthase A (EC 4.2.1.70)	11	6	2	3	8.5	2.5
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	7	6	2	3	6.5	2.5
COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	2	2	2	3	2	2.5
Ribonuclease T (EC 3.1.13.-)	3	2	2	3	2.5	2.5
5-oxoprolinase (EC 3.5.2.9)	7	9	4	1	8	2.5
HflK protein	5	2	3	2	3.5	2.5
Fe-S oxidoreductase-like protein in Rubrerythrin cluster	2	1	4	1	1.5	2.5
Cobalt-zinc-cadmium resistance protein CzcD	4	3	2	3	3.5	2.5
Membrane fusion component of tripartite multidrug resistance system	2	2	2	3	2	2.5
Sensor protein of zinc sigma-54-dependent two-component system	1	2	3	2	1.5	2.5
Glutamate racemase (EC 5.1.1.3)	2	4	0	4	3	2
Not a Proline racemase, nor 4-hydroxyproline epimerase [missing catalytic residues]	0	0	1	3	0	2
Agmatine deiminase (EC 3.5.3.12)	1	2	2	2	1.5	2
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	3	3	2	2	3	2
Predicted 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase	1	2	2	2	1.5	2
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	5	5	1	3	5	2
3-dehydroquinate dehydratase I (EC 4.2.1.10)	0	1	2	2	0.5	2
Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	4	4	1	3	4	2
Cys regulon transcriptional activator CysB	1	2	2	2	1.5	2
Glutaminase (EC 3.5.1.2)	3	3	1	3	3	2
L-asparaginase (EC 3.5.1.1)	3	6	1	3	4.5	2
Histidinol-phosphatase [alternative form] (EC 3.1.3.15)	2	2	2	2	2	2
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	9	7	4	0	8	2
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	5	4	3	1	4.5	2
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	6	5	3	1	5.5	2
Glutamate formiminotransferase (EC 2.1.2.5)	0	0	2	2	0	2
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	0	0	2	2	0	2
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	1	2	1	3	1.5	2
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	8	8	1	3	8	2
Cystathionine beta-lyase (EC 4.4.1.8)	5	0	1	3	2.5	2
Homoserine O-acetyltransferase (EC 2.3.1.31)	11	5	1	3	8	2
Methionine gamma-lyase (EC 4.4.1.11)	1	1	2	2	1	2
Nitrogen regulatory protein P-II	6	5	3	1	5.5	2
Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	0	1	3	1	0.5	2
Sarcosine oxidase alpha subunit (EC 1.5.3.1)	3	4	2	2	3.5	2
Sarcosine oxidase beta subunit (EC 1.5.3.1)	1	2	1	3	1.5	2
Urease accessory protein UreD	1	0	2	2	0.5	2
L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	2	1	1	3	1.5	2
Putative malate dehydrogenase (EC 1.1.1.37), similar to archaeal MJ1425	3	3	1	3	3	2
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	5	3	2	2	4	2
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	3	2	1	3	2.5	2
N-acetylglucosamine related transporter, NagX	5	4	2	2	4.5	2
Alpha-glucuronidase (EC 3.2.1.139)	4	3	1	3	3.5	2
Thymidine phosphorylase (EC 2.4.2.4)	5	3	3	1	4	2
1-phosphofructokinase (EC 2.7.1.56)	1	3	3	1	2	2
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	1	2	1	3	1.5	2
Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type	0	1	1	3	0.5	2
Phosphoglycolate phosphatase (EC 3.1.3.18)	2	1	1	3	1.5	2
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	1	1	2	2	1	2
Epi-inositol hydrolase (EC 3.7.1.-)	1	4	2	2	2.5	2
Inositol transport system permease protein	1	1	4	0	1	2
Inosose isomerase (EC 5.3.99.-)	6	3	1	3	4.5	2
Oligo-1,6-glucosidase (EC 3.2.1.10)	0	1	2	2	0.5	2
HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	2	3	2	2	2.5	2
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	1	2	3	1	1.5	2
Methylisocitrate lyase (EC 4.1.3.30)	8	4	2	2	6	2
Propionyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.3)	6	6	3	1	6	2
NAD-independent protein deacetylase AcuC	0	2	2	2	1	2
Xylose oligosaccharides ABC transporter, sugar-binding protein	1	0	3	1	0.5	2
Possible alpha-xyloside ABC transporter, permease component	1	0	1	3	0.5	2
Xylose ABC transporter, periplasmic xylose-binding protein XylF	1	1	2	2	1	2
Circadian oscillation regulator KaiB	1	1	1	3	1	2
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	3	3	2	2	3	2
Segregation and condensation protein B	4	2	2	2	3	2
TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	5	8	1	3	6.5	2
GDP-L-fucose synthetase (EC 1.1.1.271)	2	2	3	1	2	2
Phosphoheptose isomerase 1 (EC 5.3.1.-)	2	2	1	3	2	2
N-acetylneuraminate synthase (EC 2.5.1.56)	3	1	0	4	2	2
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	1	1	2	2	1	2
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	4	5	2	2	4.5	2
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	6	7	1	3	6.5	2
Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	2	3	2	2	2.5	2
NAD(P)HX epimerase	4	4	1	3	4	2
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	1	2	1	3	1.5	2
Predicted cobalt transporter CbtA	0	1	2	2	0.5	2
AMP nucleosidase (EC 3.2.2.4)	3	4	1	3	3.5	2
Hydroxymethylpyrimidine ABC transporter, transmembrane component	1	1	3	1	1	2
Coenzyme F420-1:L-glutamate ligase	0	0	2	2	0	2
Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase	1	1	1	3	1	2
Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	4	3	1	3	3.5	2
Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	4	7	1	3	5.5	2
Chaperone protein HscA	1	0	3	1	0.5	2
Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	1	1	1	3	1	2
Radical SAM domain heme biosynthesis protein	1	1	3	1	1	2
Menaquinone via futalosine step 4	1	2	2	2	1.5	2
diptheria toxin resistance protein required for diphthamide biosynthesis (Saccharomyces)-like 1	0	0	3	1	0	2
[NiFe] hydrogenase nickel incorporation-associated protein HypB	0	0	3	1	0	2
Molybdenum cofactor biosynthesis protein MoaB	2	2	1	3	2	2
Ribosyl nicotinamide transporter, PnuC-like	2	1	1	3	1.5	2
Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	3	4	2	2	3.5	2
NADPH dependent preQ0 reductase (EC 1.7.1.13)	4	3	1	3	3.5	2
Queuosine Biosynthesis QueE Radical SAM	7	6	1	3	6.5	2
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	1	1	1	3	1	2
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	2	1	1	3	1.5	2
5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	3	1	1	3	2	2
Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	1	1	1	3	1	2
Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress	1	2	2	2	1.5	2
Glutamate--cysteine ligase (EC 6.3.2.2)	6	4	1	3	5	2
Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	1	2	1	3	1.5	2
A/G-specific adenine glycosylase (EC 3.2.2.-)	4	1	1	3	2.5	2
Endonuclease IV (EC 3.1.21.2)	0	0	2	2	0	2
Recombination inhibitory protein MutS2	5	8	1	3	6.5	2
Deoxyribodipyrimidine photolyase, type II (EC 4.1.99.3)	1	1	2	2	1	2
RecD-like DNA helicase YrrC	3	4	1	3	3.5	2
ATP-dependent DNA helicase pcrA (EC 3.6.1.-)	1	2	4	0	1.5	2
Integration host factor alpha subunit	1	2	3	1	1.5	2
DNA topoisomerase I, eukaryotic-type (EC 5.99.1.2)	0	0	2	2	0	2
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	3	5	1	3	4	2
Spore maturation protein B	0	1	1	3	0.5	2
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	3	2	2	2	2.5	2
Monoglyceride lipase (EC 3.1.1.23)	1	1	3	1	1	2
UPF0225 protein YchJ	0	1	3	1	0.5	2
Ferric iron ABC transporter, permease protein	1	2	2	2	1.5	2
Plasmid partitioning protein ParA	1	1	1	3	1	2
Na(+) H(+) antiporter subunit A	0	2	3	1	1	2
Na(+) H(+) antiporter subunit B	4	3	2	2	3.5	2
Zinc uptake regulation protein ZUR	3	2	2	2	2.5	2
Twin-arginine translocation protein TatB	2	2	1	3	2	2
Type IV fimbrial assembly protein PilC	1	4	2	2	2.5	2
Type IV fimbrial biogenesis protein PilW	4	5	1	3	4.5	2
Catechol 1,2-dioxygenase (EC 1.13.11.1)	1	1	2	2	1	2
3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6)	1	1	1	3	1	2
Catechol 2,3-dioxygenase (EC 1.13.11.2)	1	1	2	2	1	2
Protocatechuate 4,5-dioxygenase beta chain (EC 1.13.11.8)	4	4	1	3	4	2
Gentisate 1,2-dioxygenase (EC 1.13.11.4)	1	2	2	2	1.5	2
Transcriptional regulator, IclR family	3	4	1	3	3.5	2
salicylate esterase	2	2	3	1	2	2
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	5	4	1	3	4.5	2
N-carbamoyl-L-amino acid hydrolase (EC 3.5.1.87)	1	2	1	3	1.5	2
Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	4	4	0	4	4	2
Large exoproteins involved in heme utilization or adhesion	1	1	3	1	1	2
UPF0234 protein YajQ	1	1	4	0	1	2
Poly(A) polymerase (EC 2.7.7.19)	2	2	3	1	2	2
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	6	5	0	4	5.5	2
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	2	2	2	2	2	2
ATP synthase F0 sector subunit b	2	1	2	2	1.5	2
ATP synthase F0 sector subunit c	2	2	1	3	2	2
Flagellar motor switch protein FliG	5	3	1	3	4	2
Flagellar biosynthesis protein FliR	2	3	2	2	2.5	2
Flagellar motor rotation protein MotB	5	4	1	3	4.5	2
Flagellum-specific ATP synthase FliI	2	3	2	2	2.5	2
RNA polymerase sigma factor for flagellar operon	4	4	1	3	4	2
NnrU family protein, required for expression of nitric oxide and nitrite reductases (Nir and Nor)	2	1	3	1	1.5	2
Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	1	2	2	2	1.5	2
Uracil phosphoribosyltransferase (EC 2.4.2.9)	7	8	3	1	7.5	2
Dihydropyrimidinase (EC 3.5.2.2)	3	3	2	2	3	2
Adenine deaminase (EC 3.5.4.2)	2	1	2	2	1.5	2
Adenosine deaminase (EC 3.5.4.4)	5	3	1	3	4	2
Guanine deaminase (EC 3.5.4.3)	3	1	1	3	2	2
Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	2	6	1	3	4	2
Cytidine deaminase (EC 3.5.4.5)	2	2	1	3	2	2
Predicted ATPase related to phosphate starvation-inducible protein PhoH	4	7	2	2	5.5	2
Fatty acid desaturase (EC 1.14.19.1)	3	1	3	1	2	2
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	4	7	2	2	5.5	2
POTASSIUM/PROTON ANTIPORTER ROSB	5	8	2	2	6.5	2
TrkA-N:Sodium/hydrogen exchanger	0	1	2	2	0.5	2
Ribonuclease P protein component (EC 3.1.26.5)	4	5	2	2	4.5	2
Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	2	1	1	3	1.5	2
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	1	1	2	2	1	2
Phospholipid-lipopolysaccharide ABC transporter	4	4	1	3	4	2
Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8)	2	1	3	1	1.5	2
Superoxide dismutase [Mn] (EC 1.15.1.1)	2	1	2	2	1.5	2
ATP-dependent protease La (EC 3.4.21.53) Type II	1	1	2	2	1	2
Arginine-tRNA-protein transferase (EC 2.3.2.8)	6	2	1	3	4	2
Asp-X dipeptidase	2	3	1	3	2.5	2
FIG138315: Putative alpha helix protein	2	2	3	1	2	2
LSU ribosomal protein L22p (L17e)	2	3	3	1	2.5	2
SSU ribosomal protein S19e	0	0	2	2	0	2
selenocysteine-containing	0	0	2	2	0	2
Ribosome small subunit-stimulated GTPase EngC	1	1	1	3	1	2
Inositol-1-monophosphatase (EC 3.1.3.25)	4	4	1	3	4	2
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	1	1	1	3	1	2
V-type ATP synthase subunit B (EC 3.6.3.14)	0	0	2	2	0	2
Cytochrome c heme lyase subunit CcmH	1	1	1	3	1	2
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	1	2	2	2	1.5	2
Formate dehydrogenase-O, iron-sulfur subunit (EC 1.2.1.2)	1	2	3	1	1.5	2
Hydrogenase-4 transcriptional activator	1	0	1	3	0.5	2
Uptake hydrogenase large subunit (EC 1.12.99.6)	0	2	3	1	1	2
Transport ATP-binding protein CydD	1	1	3	1	1	2
Retron-type reverse transcriptase	1	0	2	2	0.5	2
rRNA biogenesis protein Nop5/Nop56	0	0	1	3	0	2
DNA-directed RNA polymerase subunit A (EC 2.7.7.6)	0	0	1	3	0	2
DNA-directed RNA polymerase subunit B (EC 2.7.7.6)	1	1	2	2	1	2
DNA-directed RNA polymerase subunit E' (EC 2.7.7.6)	1	1	2	2	1	2
3'-to-5' oligoribonuclease (orn)	3	3	1	3	3	2
Rrf2 family transcriptional regulator, group III	2	1	3	1	1.5	2
tRNA:Cm32/Um32 methyltransferase	4	3	0	4	3.5	2
RNA polymerase sigma factor SigW	1	1	2	2	1	2
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	8	3	1	3	5.5	2
Glutathione S-transferase, omega (EC 2.5.1.18)	2	2	2	2	2	2
Phage shock protein A	5	4	2	2	4.5	2
Phage shock protein C	2	1	1	3	1.5	2
Rubredoxin	2	3	2	2	2.5	2
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	1	1	2	2	1	2
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	4	4	1	3	4	2
Negative regulator of beta-lactamase expression	0	1	3	1	0.5	2
RND efflux system, membrane fusion protein CmeA	5	3	1	3	4	2
RND efflux system, outer membrane lipoprotein, NodT family	2	2	2	2	2	2
Inner membrane component of tripartite multidrug resistance system	3	2	1	3	2.5	2
Predicted cell-wall-anchored protein SasA (LPXTG motif)	2	2	1	3	2	2
Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits	4	3	1	2	3.5	1.5
Acetolactate synthase small subunit (EC 2.2.1.6)	2	3	0	3	2.5	1.5
3-dehydroquinate dehydratase II (EC 4.2.1.10)	8	7	0	3	7.5	1.5
4-hydroxybenzoate transporter	6	3	2	1	4.5	1.5
Cyanophycin synthase II	0	0	3	0	0	1.5
Sulfate transport system permease protein CysT	1	2	2	1	1.5	1.5
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	8	6	2	1	7	1.5
ATP phosphoribosyltransferase (EC 2.4.2.17)	4	4	1	2	4	1.5
Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	1	2	2	1	1.5	1.5
N-formylglutamate deformylase (EC 3.5.1.68)	3	1	1	2	2	1.5
Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	2	2	0	3	2	1.5
Lysine decarboxylase (EC 4.1.1.18)	2	3	2	1	2.5	1.5
Homoserine O-succinyltransferase (EC 2.3.1.46)	0	1	1	2	0.5	1.5
Transcriptional activator MetR	1	1	1	2	1	1.5
Methionine aminotransferase, PLP-dependent	3	3	1	2	3	1.5
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	2	3	0	3	2.5	1.5
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	0	1	3	0	0.5	1.5
Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)	1	1	1	2	1	1.5
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	2	1	1	2	1.5	1.5
Putative oxidoreductase in 4-hydroxyproline catabolic gene cluster	1	1	2	1	1	1.5
low-specificity D-threonine aldolase	3	3	2	1	3	1.5
Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	2	1	1	2	1.5	1.5
Kynurenine 3-monooxygenase (EC 1.14.13.9)	6	6	1	2	6	1.5
Urea ABC transporter, urea binding protein	2	1	2	1	1.5	1.5
Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	1	0	2	1	0.5	1.5
Acetoacetate metabolism regulatory protein AtoC	0	1	1	2	0.5	1.5
L-lactate dehydrogenase (EC 1.1.1.27)	1	1	1	2	1	1.5
Aconitate hydratase 2 (EC 4.2.1.3)	3	2	3	0	2.5	1.5
RuBisCO operon transcriptional regulator CbbR	0	1	2	1	0.5	1.5
Chloride channel protein	0	0	0	3	0	1.5
Periplasmic beta-glucosidase (EC 3.2.1.21)	5	6	1	2	5.5	1.5
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	2	4	2	1	3	1.5
Chitin binding protein	1	0	2	1	0.5	1.5
hypothetical oxidoreductase related to N-acetylglucosamine utilization	1	0	1	2	0.5	1.5
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	4	4	1	2	4	1.5
2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	3	3	2	1	3	1.5
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	3	5	0	3	4	1.5
Mannonate dehydratase (EC 4.2.1.8)	6	2	1	2	4	1.5
Gluconate permease	2	2	2	1	2	1.5
Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	3	1	1	2	2	1.5
Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)	0	1	2	1	0.5	1.5
Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	0	1	1	2	0.5	1.5
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	2	4	1	2	3	1.5
6-phosphogluconolactonase (EC 3.1.1.31)	2	1	2	1	1.5	1.5
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	1	1	2	1	1	1.5
Malyl-CoA lyase (EC 4.1.3.24)	2	1	2	1	1.5	1.5
Ethylmalonyl-CoA epimerase	1	0	2	1	0.5	1.5
D-lactate dehydrogenase (EC 1.1.1.28)	5	3	1	2	4	1.5
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	4	4	0	3	4	1.5
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	5	7	1	2	6	1.5
Beta-phosphoglucomutase (EC 5.4.2.6)	2	1	2	1	1.5	1.5
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	4	2	0	3	3	1.5
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	1	1	2	1	1	1.5
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	0	1	1	2	0.5	1.5
Homolog of fucose/glucose/galactose permeases	2	2	1	2	2	1.5
Inositol oxygenase (EC 1.13.99.1)	2	1	1	2	1.5	1.5
Predicted L-rhamnose ABC transporter, ATP-binding component	0	0	2	1	0	1.5
Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing	3	2	2	1	2.5	1.5
Maltose O-acetyltransferase (EC 2.3.1.79)	2	2	1	2	2	1.5
Maltose phosphorylase (EC 2.4.1.8)	1	2	2	1	1.5	1.5
Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13 )	1	2	1	2	1.5	1.5
Particulate methane monooxygenase A-subunit (EC 1.14.13.25)	0	1	2	1	0.5	1.5
Na+/H+-dicarboxylate symporters	3	2	1	2	2.5	1.5
D-malic enzyme (EC 1.1.1.83)	2	1	2	1	1.5	1.5
Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)	2	1	1	2	1.5	1.5
Serine--pyruvate aminotransferase (EC 2.6.1.51)	2	1	1	2	1.5	1.5
Xylose oligosaccharides ABC transporter, permease protein 2	0	0	2	1	0	1.5
Cytoplasmic trehalase (EC 3.2.1.28)	1	1	2	1	1	1.5
Xylose ABC transporter, permease protein XylH	1	1	2	1	1	1.5
Cell division protein FtsQ	4	4	1	2	4	1.5
Cell division protein MraZ	1	2	1	2	1.5	1.5
Rod shape-determining protein MreD	5	4	0	3	4.5	1.5
Transamidase GatB domain protein	4	1	2	1	2.5	1.5
D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	1	0	0	3	0.5	1.5
Phosphoheptose isomerase (EC 5.3.1.-)	0	1	1	2	0.5	1.5
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	2	1	2	1	1.5	1.5
Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	2	0	1	2	1	1.5
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	2	2	1	2	2	1.5
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	3	0	1	2	1.5	1.5
Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster	0	2	1	2	1	1.5
Rare lipoprotein A precursor	0	2	0	3	1	1.5
capsular polysaccharide biosynthesis protein	3	1	2	1	2	1.5
TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter	2	2	1	2	2	1.5
Putative polyribitolphosphotransferase	1	1	0	3	1	1.5
Thiamin-phosphate synthase ThiN (EC 2.5.1.3)	0	0	1	2	0	1.5
Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety	0	0	1	2	0	1.5
Cobalamin synthase	0	1	2	1	0.5	1.5
Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	0	0	2	1	0	1.5
L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	1	1	1	2	1	1.5
Outer membrane vitamin B12 receptor BtuB	4	5	2	1	4.5	1.5
Vitamin B12 ABC transporter, B12-binding component BtuF	1	2	2	1	1.5	1.5
Lipoate-protein ligase A	2	2	1	2	2	1.5
Dethiobiotin synthetase (EC 6.3.3.3)	4	4	0	3	4	1.5
Phosphopantetheine adenylyltransferase, type II eukaryotic (EC 2.7.7.3)	1	0	2	1	0.5	1.5
Methanol dehydrogenase large subunit protein (EC 1.1.99.8)	3	3	1	2	3	1.5
Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	1	2	2	1	1.5	1.5
Cytochrome c-type biogenesis protein CcdA (DsbD analog)	1	1	1	2	1	1.5
Dihydrofolate synthase (EC 6.3.2.12)	4	4	1	2	4	1.5
Folate transporter 3	1	1	1	2	1	1.5
Gene SCO4494, often clustered with other genes in menaquinone via futalosine pathway	2	3	2	1	2.5	1.5
Molybdopterin biosynthesis protein MoeA	5	4	0	3	4.5	1.5
Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT	1	0	2	1	0.5	1.5
Nicotinamidase family protein YcaC	1	1	2	1	1	1.5
Nudix-related transcriptional regulator NrtR	0	0	1	2	0	1.5
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	4	6	0	3	5	1.5
Riboflavin kinase (EC 2.7.1.26)	4	2	1	2	3	1.5
FMN adenylyltransferase, type 3 archaeal (EC 2.7.7.2)	0	0	1	2	0	1.5
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	2	2	1	2	2	1.5
Thiol:disulfide interchange protein DsbC	1	1	2	1	1	1.5
DNA topoisomerase III (EC 5.99.1.2)	2	2	1	2	2	1.5
DNA repair protein RadC	7	6	0	3	6.5	1.5
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	5	6	2	1	5.5	1.5
ATP-dependent DNA helicase, RecQ family	4	4	2	1	4	1.5
ATP-dependent DNA helicase Rep	2	2	3	0	2	1.5
Excinuclease ABC subunit A paralog in greater Bacteroides group	3	2	1	2	2.5	1.5
Origin of replication recognition protein	0	0	1	2	0	1.5
Integration host factor beta subunit	4	3	1	2	3.5	1.5
Helicase PriA essential for oriC/DnaA-independent DNA replication	3	2	2	1	2.5	1.5
Putative deoxyribonuclease similar to YcfH, type 3	0	0	2	1	0	1.5
Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)	3	3	0	3	3	1.5
Protein of unknown function identified by role in sporulation (SpoVG)	0	0	2	1	0	1.5
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	4	2	1	2	3	1.5
AMP-dependent synthetase/ligase in alkane synthesis cluster	2	3	1	2	2.5	1.5
Digeranylgeranylglycerophospholipid reductase	0	0	1	2	0	1.5
Isopentenyl phosphate kinase	0	1	2	1	0.5	1.5
Phytoene synthase (EC 2.5.1.32)	3	3	1	2	3	1.5
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	1	1	1	2	1	1.5
